date,Nabva,Nabva_1,Nabva_2,BRANv,BRANv_1,sst,sst_1,chla,chla_1,chla_SWAIN,chla_SWAIN_1,chla_SWAIN_2,chla_SWAIN_3,sst_OTIS,sst_OTIS_1,sst_OTIS_2,sst_OTIS_3,sst_SWAIN,sst_SWAIN_1,sst_SWAIN_2,sst_SWAIN_3,SL,SL_1,season,month,quarter,year,rabva,qt
2004-01-01,0.52918455,0.1,NA,-0.1508436,-0.23471081,22.24,21.22,0.2773275,0.1539033,0.7610349,0.7183721,0.82461,0.6867576,26.87959,25.73047,24.40421,23.11445,27.62114,26.2789,25.04934,24.15385,0.963,0.918,1,1,1,2004,1.6661670508151887,1
2004-02-01,20.1525356,0.52918455,0.1,-0.32977241,-0.1508436,23.11,22.24,0.1177501,0.2773275,0.9985509,0.7610349,0.7183721,0.82461,28.02568,26.87959,25.73047,24.40421,28.45321,27.62114,26.2789,25.04934,0.971,0.963,1,2,1,2004,3.639748158883123,1
2004-03-01,1.27469535,20.1525356,0.52918455,-0.19641009,-0.32977241,23.19,23.11,0.1550526,0.1177501,1.0965648,0.9985509,0.7610349,0.7183721,27.08816,28.02568,26.87959,25.73047,27.89605,28.45321,27.62114,26.2789,0.95,0.971,1,3,1,2004,-2.760622907821338,1
2004-04-01,0.8153076,1.27469535,20.1525356,-0.07784568,-0.19641009,21.84,23.19,0.2186274,0.1550526,0.9917807,1.0965648,0.9985509,0.7610349,25.87846,27.08816,28.02568,26.87959,26.18006,27.89605,28.45321,27.62114,0.937,0.95,1,4,2,2004,-0.44689702251758134,2
2004-05-01,0.20729615,0.8153076,1.27469535,0.05118893,-0.07784568,19.92,21.84,0.3780173,0.2186274,0.99728000000000006,0.9917807,1.0965648,0.9985509,24.35213,25.87846,27.08816,28.02568,24.93203,26.18006,27.89605,28.45321,1.078,0.937,1,5,2,2004,-1.3694170181959173,2
2004-06-01,0.1,0.20729615,0.8153076,-0.03981492,0.05118893,18.45,19.92,0.354041,0.3780173,0.8777119,0.99728000000000006,0.9917807,1.0965648,22.78483,24.35213,25.87846,27.08816,23.73794,24.93203,26.18006,27.89605,1.002,1.078,0,6,2,2004,-0.7289782611634749,2
2004-07-01,0.1,0.1,0.20729615,-0.13709854,-0.03981492,17.98,18.45,0.3941314,0.354041,0.7972091,0.8777119,0.99728000000000006,0.9917807,21.67957,22.78483,24.35213,25.87846,22.42859,23.73794,24.93203,26.18006,0.898,1.002,0,7,3,2004,0,3
2004-08-01,0.1,0.1,0.1,-0.22744507,-0.13709854,18.27,17.98,0.4621633,0.3941314,0.7377397,0.7972091,0.8777119,0.99728000000000006,21.83011,21.67957,22.78483,24.35213,22.12029,22.42859,23.73794,24.93203,0.961,0.898,0,8,3,2004,0,3
2004-09-01,0.1,0.1,0.1,-0.08362071,-0.22744507,18.38,18.27,0.8234547,0.4621633,0.6937547,0.7377397,0.7972091,0.8777119,21.65659,21.83011,21.67957,22.78483,22.1794,22.12029,22.42859,23.73794,0.886,0.961,0,9,3,2004,0,3
2004-10-01,0.1,0.1,0.1,-0.11844703,-0.08362071,18.93,18.38,0.5311495,0.8234547,0.7082012,0.6937547,0.7377397,0.7972091,22.98421,21.65659,21.83011,21.67957,23.76495,22.1794,22.12029,22.42859,0.916,0.886,0,10,4,2004,0,4
2005-01-01,0.84829185,0.52918455,NA,-0.2040045,-0.22026147,22.54,20.61,0.143073,0.299275,0.8147732,0.8435448,0.7442637,0.7082012,26.36095,25.85605,24.42693,22.98421,27.16358,26.39932,25.30222,23.76495,0.915,0.957,1,1,1,2005,0.47188750251406264,1
2005-02-01,8.254506450000001,0.84829185,0.52918455,-0.1200439,-0.2040045,22.1,22.54,0.2539505,0.143073,0.9991891,0.8147732,0.8435448,0.7442637,27.00553,26.36095,25.85605,24.42693,27.59133,27.16358,26.39932,25.30222,0.974,0.915,1,2,1,2005,2.2752898272422435,1
2005-03-01,7.9242748,8.254506450000001,0.84829185,-0.15173568,-0.1200439,22.72,22.1,0.1924399,0.2539505,0.9659781,0.9991891,0.8147732,0.8435448,26.71329,27.00553,26.36095,25.85605,27.19962,27.59133,27.16358,26.39932,0.974,0.974,1,3,1,2005,-0.04082847988764205,1
2005-04-01,0.6364807,7.9242748,8.254506450000001,-0.26878589,-0.15173568,22.51,22.72,0.1854065,0.1924399,1.007305,0.9659781,0.9991891,0.8147732,25.72198,26.71329,27.00553,26.36095,26.17618,27.19962,27.59133,27.16358,0.886,0.974,1,4,2,2005,-2.5217319912080476,2
2005-05-01,0.1,0.6364807,7.9242748,-0.06034448,-0.26878589,20.55,22.51,0.3133879,0.1854065,1.0486954,1.007305,0.9659781,0.9991891,24.45753,25.72198,26.71329,27.00553,24.82808,26.17618,27.19962,27.59133,1.014,0.886,1,5,2,2005,-1.850783909475805,2
2005-06-01,0.1,0.1,0.6364807,-0.16089123,-0.06034448,19.29,20.55,0.4220125,0.3133879,1.0117845,1.0486954,1.007305,0.9659781,23.22832,24.45753,25.72198,26.71329,24.03971,24.82808,26.17618,27.19962,1,1.014,0,6,2,2005,0,2
2005-07-01,0.1,0.1,0.1,-0.07182414,-0.16089123,18.14,19.29,0.3438958,0.4220125,0.8602956,1.0117845,1.0486954,1.007305,22.07931,23.22832,24.45753,25.72198,23.06612,24.03971,24.82808,26.17618,0.999,1,0,7,3,2005,0,3
2005-08-01,0.1,0.1,0.1,-0.05893594,-0.07182414,17.37,18.14,0.5606035,0.3438958,0.7706937,0.8602956,1.0117845,1.0486954,21.86936,22.07931,23.22832,24.45753,21.8249,23.06612,24.03971,24.82808,0.904,0.999,0,8,3,2005,0,3
2005-09-01,0.1,0.1,0.1,-0.29641688,-0.05893594,18.01,17.37,0.7260641,0.5606035,0.6127782,0.7706937,0.8602956,1.0117845,21.94769,21.86936,22.07931,23.22832,22.38228,21.8249,23.06612,24.03971,0.941,0.904,0,9,3,2005,0,3
2006-02-01,29.453926499999998,9.958954,NA,-0.31306684,-0.33113757,24.24,22.95,0.1416893,0.1597476,0.8346949,0.7587409,0.7587703,0.7786384,27.84325,27.96041,27.35938,25.27771,28.26473,28.10387,27.30671,25.86984,0.972,0.952,1,2,1,2006,1.0843551828830842,1
2006-03-01,20.02693815,29.453926499999998,9.958954,-0.11249592,-0.31306684,22.97,24.24,0.1930695,0.1416893,0.9703712,0.8346949,0.7587409,0.7587703,26.69109,27.84325,27.96041,27.35938,26.78827,28.26473,28.10387,27.30671,0.948,0.972,1,3,1,2006,-0.38574895409651094,1
2006-04-01,18.8283793,20.02693815,29.453926499999998,-0.01646826,-0.11249592,22.91,22.97,0.2367137,0.1930695,1.0453134,0.9703712,0.8346949,0.7587409,26.19854,26.69109,27.84325,27.96041,26.74725,26.78827,28.26473,28.10387,1.148,0.948,1,4,2,2006,-0.061713005923849484,2
2006-05-01,31.2939297,18.8283793,20.02693815,-0.12965672,-0.01646826,20.79,22.91,0.3262518,0.2367137,0.8185164,1.0453134,0.9703712,0.8346949,24.68624,26.19854,26.69109,27.84325,25.18643,26.74725,26.78827,28.26473,1.028,1.148,1,5,2,2006,0.508058870576411,2
2006-06-01,22.5448687,31.2939297,18.8283793,-0.28605235,-0.12965672,19.2,20.79,0.3293673,0.3262518,0.7470971,0.8185164,1.0453134,0.9703712,23.11642,24.68624,26.19854,26.69109,23.71698,25.18643,26.74725,26.78827,0.96,1.028,0,6,2,2006,-0.32791665149197724,2
2006-07-01,0.9583691000000001,22.5448687,31.2939297,-0.19828814,-0.28605235,18.96,19.2,0.6178151,0.3293673,0.9100728,0.7470971,0.8185164,1.0453134,22.18601,23.11642,24.68624,26.19854,22.517,23.71698,25.18643,26.74725,0.9,0.96,0,7,3,2006,-3.1580297813244527,3
2006-08-01,10.2224396,0.9583691000000001,22.5448687,-0.1186231,-0.19828814,19.42,18.96,0.3056683,0.6178151,0.7720871,0.9100728,0.7470971,0.8185164,21.77962,22.18601,23.11642,24.68624,21.8175,22.517,23.71698,25.18643,0.917,0.9,0,8,3,2006,2.367107558080215,3
2007-01-01,2.00908175,0.52918455,NA,-0.30262622,-0.29417497,20.81,20.8,1.1815137,0.5401999,0.7563586,0.7414111,0.6731251,0.5937893,25.62148,24.88355,23.54459,22.40321,26.72178,25.8106,24.52754,23.00684,0.912,0.856,1,1,1,2007,1.3340958190702727,1
2007-02-01,36.16166955,2.00908175,0.52918455,-0.14743094,-0.30262622,22.85,20.81,0.2374625,1.1815137,0.8937323,0.7563586,0.7414111,0.6731251,26.5031,25.62148,24.88355,23.54459,26.72958,26.72178,25.8106,24.52754,0.881,0.912,1,2,1,2007,2.890321928750332,1
2007-03-01,38.14443525,36.16166955,2.00908175,-0.06670642,-0.14743094,23.27,22.85,0.3202023,0.2374625,0.7924916,0.8937323,0.7563586,0.7414111,26.85049,26.5031,25.62148,24.88355,27.12696,26.72958,26.72178,25.8106,1.038,0.881,1,3,1,2007,0.05338017644283044,1
2007-04-01,5.2057172,38.14443525,36.16166955,-0.26183706,-0.06670642,22.9,23.27,0.1745785,0.3202023,0.7700892,0.7924916,0.8937323,0.7563586,25.6037,26.85049,26.5031,25.62148,25.84632,27.12696,26.72958,26.72178,0.989,1.038,1,4,2,2007,-1.991622398923922,2
2007-05-01,8.132138600000001,5.2057172,38.14443525,-0.32462305,-0.26183706,20.87,22.9,0.3184025,0.1745785,1.0333733,0.7700892,0.7924916,0.8937323,24.81631,25.6037,26.85049,26.5031,25.03051,25.84632,27.12696,26.72958,1.039,0.989,1,5,2,2007,0.446066456237869,2
2007-06-01,0.52918455,8.132138600000001,5.2057172,-0.19455551,-0.32462305,19.5,20.87,0.367542,0.3184025,0.8881472,1.0333733,0.7700892,0.7924916,23.48035,24.81631,25.6037,26.85049,23.86649,25.03051,25.84632,27.12696,1.105,1.039,0,6,2,2007,-2.732241981577382,2
2007-10-01,2.6083611999999996,2.190301,NA,-0.05606015,-0.14121853,19.1,18.17,0.2509616,0.4440639,0.7013572,0.7401146,0.6949648,0.9619133,23.09504,21.84002,21.39155,21.65023,23.98801,22.39741,22.24455,22.28509,0.981,0.937,0,10,4,2007,0.17468315410073623,4
2008-01-01,9.705037749999999,0.31459224999999996,NA,-0.29156914,-0.09970162,23.43,20.92,0.1298236,0.3386999,0.8981254,0.7523816,0.7927964,0.7013572,26.28605,25.3151,24.36154,23.09504,27.11035,26.39699,25.38661,23.98801,0.951,0.948,1,1,1,2008,3.4291230294788067,1
2008-02-01,15.400465050000001,9.705037749999999,0.31459224999999996,-0.18519428,-0.29156914,23.15,23.43,0.1777221,0.1298236,1.1497742,0.8981254,0.7523816,0.7927964,26.65354,26.28605,25.3151,24.36154,27.76413,27.11035,26.39699,25.38661,1.01,0.951,1,2,1,2008,0.46175260065461843,1
2008-03-01,11.861307349999999,15.400465050000001,9.705037749999999,-0.10032373,-0.18519428,22.12,23.15,0.2026109,0.1777221,0.9223062,1.1497742,0.8981254,0.7523816,25.59655,26.65354,26.28605,25.3151,26.38939,27.76413,27.11035,26.39699,0.967,1.01,1,3,1,2008,-0.2611160876492486,1
2008-04-01,18.66151405,11.861307349999999,15.400465050000001,-0.02113994,-0.10032373,20.56,22.12,0.3698791,0.2026109,0.9253131,0.9223062,1.1497742,0.8981254,24.82662,25.59655,26.65354,26.28605,25.61084,26.38939,27.76413,27.11035,1.01,0.967,1,4,2,2008,0.45318171156086373,2
2009-03-01,67.84620695000001,0.5180602,NA,-0.29936311,-0.18389392,22.35,22.56,0.4425492,0.3230121,1.4625527,0.9249038,0.8900645,0.8378989,26.07555,27.31434,26.38849,26.77454,26.34953,27.90681,27.82,27.34194,0.961,0.933,1,3,1,2009,4.874907308513718,1
2009-06-01,0.5180602,20.6183229,NA,-0.20190342,-0.18613943,20,22.48,0.7174042,0.8571849,1.1196603999999999,1.2041973,2.1209748,1.4625527,23.12103,24.15751,25.7273,26.07555,23.60479,24.94579,26.29902,26.34953,1.044,1.036,0,6,2,2009,-3.6838439688834277,2
2009-07-01,0.1,0.5180602,20.6183229,-0.29415148,-0.20190342,18.24,20,0.5571201,0.7174042,0.8470552,1.1196603999999999,1.2041973,2.1209748,21.65039,23.12103,24.15751,25.7273,22.65652,23.60479,24.94579,26.29902,1.033,1.044,0,7,3,2009,-1.6449212657350265,3
2010-01-01,9.3446029,0.1,NA,-0.27022967,-0.09588681,22.05,21.51,0.3755508,0.1814077,0.8086214,0.7613818,0.8042783,0.7808687,26.99541,26.23669,24.65149,23.385,27.52361,26.73567,25.34242,24.63505,0.955,0.958,1,1,1,2010,4.537384039686774,1
2010-02-01,21.70073395,9.3446029,0.1,-0.32845879,-0.27022967,24.02,22.05,0.1389927,0.3755508,0.8228283,0.8086214,0.7613818,0.8042783,27.12786,26.99541,26.23669,24.65149,28.01034,27.52361,26.73567,25.34242,0.93,0.955,1,2,1,2010,0.8425471358623602,1
2010-03-01,17.63143525,21.70073395,9.3446029,-0.1934756,-0.32845879,22.99,24.02,0.2756203,0.1389927,0.9399091,0.8228283,0.8086214,0.7613818,26.56647,27.12786,26.99541,26.23669,27.3612,28.01034,27.52361,26.73567,0.906,0.93,1,3,1,2010,-0.20766267992967402,1
2010-04-01,46.569634050000005,17.63143525,21.70073395,-0.1386362,-0.1934756,22.35,22.99,0.400822,0.2756203,1.3033375,0.9399091,0.8228283,0.8086214,26.02404,26.56647,27.12786,26.99541,26.62013,27.3612,28.01034,27.52361,0.967,0.906,1,4,2,2010,0.971265296274866,2
2010-05-01,71.37101065,46.569634050000005,17.63143525,-0.29523137,-0.1386362,23.12,22.35,0.510912,0.400822,1.0323078,1.3033375,0.9399091,0.8228283,24.90628,26.02404,26.56647,27.12786,25.43602,26.62013,27.3612,28.01034,1.108,0.967,1,5,2,2010,0.4269430746942174,2
2010-06-01,35.65880115,71.37101065,46.569634050000005,-0.05218665,-0.29523137,19.86,23.12,0.5253304,0.510912,0.8266902,1.0323078,1.3033375,0.9399091,23.29147,24.90628,26.02404,26.56647,24.06362,25.43602,26.62013,27.3612,1.091,1.108,0,6,2,2010,-0.6938957806253603,2
2010-07-01,18.63047355,35.65880115,71.37101065,-0.13844839,-0.05218665,18.14,19.86,0.4191291,0.5253304,0.7871057,0.8266902,1.0323078,1.3033375,22.71171,23.29147,24.90628,26.02404,23.01603,24.06362,25.43602,26.62013,0.979,1.091,0,7,3,2010,-0.6491973899991402,3
2010-08-01,4.8099057,18.63047355,35.65880115,-0.05873639,-0.13844839,17.36,18.14,0.5284049,0.4191291,0.7184766,0.7871057,0.8266902,1.0323078,22.64495,22.71171,23.29147,24.90628,23.05885,23.01603,24.06362,25.43602,1.038,0.979,0,8,3,2010,-1.3541211240341127,3
2011-01-01,2.7885039000000003,0.1,NA,-0.37025994,-0.09596898,23.86,19.55,0.3778992,1.7565262,0.7772157,0.5955373,0.6323375,0.6757834,26.9594,24.85541,24.16061,23.17742,27.68757,25.95423,25.08693,24.98207,0.966,0.981,1,1,1,2011,3.3280903084419378,1
2011-02-01,4.63717925,2.7885039000000003,0.1,-0.29281846,-0.37025994,24.12,23.86,0.1443253,0.3778992,1.0088501,0.7772157,0.5955373,0.6323375,27.21641,26.9594,24.85541,24.16061,27.56346,27.68757,25.95423,25.08693,1.02,0.966,1,2,1,2011,0.5086010456732075,1
2011-03-01,7.811566000000001,4.63717925,2.7885039000000003,-0.13973956,-0.29281846,23.18,24.12,0.1853169,0.1443253,1.0219972,1.0088501,0.7772157,0.5955373,26.3308,27.21641,26.9594,24.85541,27.04701,27.56346,27.68757,25.95423,0.99,1.02,1,3,1,2011,0.5214991947945106,1
2011-04-01,47.4001923,7.811566000000001,4.63717925,-0.1842379,-0.13973956,23.27,23.18,0.2696231,0.1853169,1.1760668,1.0219972,1.0088501,0.7772157,25.31648,26.3308,27.21641,26.9594,25.92274,27.04701,27.56346,27.68757,1.062,0.99,1,4,2,2011,1.8030208297392167,2
2011-05-01,35.30748705,47.4001923,7.811566000000001,-0.15988177,-0.1842379,20.75,23.27,0.5213499,0.2696231,0.893452,1.1760668,1.0219972,1.0088501,23.83094,25.31648,26.3308,27.21641,24.44801,25.92274,27.04701,27.56346,1.113,1.062,1,5,2,2011,-0.29453124647140894,2
2011-06-01,24.1598131,35.30748705,47.4001923,-0.12079461,-0.15988177,19.62,20.75,0.4923314,0.5213499,0.8321607,0.893452,1.1760668,1.0219972,22.58577,23.83094,25.31648,26.3308,23.02822,24.44801,25.92274,27.04701,1.071,1.113,0,6,2,2011,-0.37940440207387816,2
2011-07-01,16.77145135,24.1598131,35.30748705,-0.25067434,-0.12079461,19.29,19.62,0.5420172,0.4923314,0.686399,0.8321607,0.893452,1.1760668,21.56213,22.58577,23.83094,25.31648,22.21323,23.02822,24.44801,25.92274,1.028,1.071,0,7,3,2011,-0.36501252059460704,3
2011-08-01,10.3114344,16.77145135,24.1598131,-0.12874116,-0.25067434,17.73,19.29,0.6369021,0.5420172,0.6914375,0.686399,0.8321607,0.893452,20.89681,21.56213,22.58577,23.83094,21.70174,22.21323,23.02822,24.44801,0.966,1.028,0,8,3,2011,-0.4864247011022302,3
2011-11-01,0.1,0.1,NA,-0.21659926,-0.22022626,19.53,18.6,0.3854769,1.5722537,0.6074333,0.7082999,0.6834432,0.6914375,24.28769,22.2978,21.59845,20.89681,25.11518,23.03357,21.83205,21.70174,0.984,0.939,0,11,4,2011,0,4
2012-02-01,23.30978725,20.66437525,NA,-0.44563657,-0.29230863,22.62,22.48,0.2794192,0.1634844,0.8220814,0.7773302,0.6808662,0.6074333,27.05405,25.47197,25.0174,24.28769,27.86193,26.94081,26.28436,25.11518,0.976,0.961,1,2,1,2012,0.12046211079199294,1
2012-03-01,16.478988599999997,23.30978725,20.66437525,-0.13858925,-0.44563657,21.69,22.62,0.4426426,0.2794192,1.0182822,0.8220814,0.7773302,0.6808662,25.92299,27.05405,25.47197,25.0174,27.05034,27.86193,26.94081,26.28436,1.016,0.976,1,3,1,2012,-0.3467871747830843,1
2012-04-01,50.5499978,16.478988599999997,23.30978725,-0.13715723,-0.13858925,22.41,21.69,0.3781665,0.4426426,1.0223647,1.0182822,0.8220814,0.7773302,25.75383,25.92299,27.05405,25.47197,26.25393,27.05034,27.86193,26.94081,1.061,1.016,1,4,2,2012,1.1208767507064101,2
2012-05-01,39.30130765,50.5499978,16.478988599999997,-0.27231902,-0.13715723,21.4,22.41,0.5688212,0.3781665,0.8338046,1.0223647,1.0182822,0.8220814,24.28184,25.75383,25.92299,27.05405,25.13933,26.25393,27.05034,27.86193,1.052,1.061,1,5,2,2012,-0.251705110086654,2
2012-06-01,18.83950365,39.30130765,50.5499978,-0.09686105,-0.27231902,19.07,21.4,1.6569581,0.5688212,1.1342179,0.8338046,1.0223647,1.0182822,22.84018,24.28184,25.75383,25.92299,23.05929,25.13933,26.25393,27.05034,1.015,1.052,0,6,2,2012,-0.7353018685987934,2
2013-02-01,2.96230685,4.4236635,NA,-0.18752961,-0.02551817,22.85,21.83,0.470503,0.2302527,0.6641876,0.7260306,0.7560187,0.6800292,26.84,26.77849,25.88472,24.17207,27.46216,27.34922,26.57687,24.9886,0.95,1.011,1,2,1,2013,-0.40099989291665256,1
2013-03-01,84.10399395,2.96230685,4.4236635,-0.1167333,-0.18752961,24.34,22.85,0.5332482,0.470503,0.9709635,0.6641876,0.7260306,0.7560187,26.01762,26.84,26.77849,25.88472,26.59466,27.46216,27.34922,26.57687,1.049,0.95,1,3,1,2013,3.346085750315269,1
2013-04-01,54.05345,84.10399395,2.96230685,-0.07771656,-0.1167333,22.59,24.34,0.4006309,0.5332482,0.9715179,0.9709635,0.6641876,0.7260306,25.52694,26.01762,26.84,26.77849,26.03378,26.59466,27.46216,27.34922,1.141,1.049,1,4,2,2013,-0.44208068450336263,2
2013-05-01,17.53526345,54.05345,84.10399395,-0.15141876,-0.07771656,21.99,22.59,0.5634405,0.4006309,0.928118,0.9715179,0.9709635,0.6641876,24.45575,25.52694,26.01762,26.84,24.73288,26.03378,26.59466,27.46216,1.096,1.141,1,5,2,2013,-1.1257594641188988,2
2013-06-01,19.3354343,17.53526345,54.05345,-0.10139188,-0.15141876,19.81,21.99,0.2890064,0.5634405,0.8305008,0.928118,0.9715179,0.9709635,22.92028,24.45575,25.52694,26.01762,23.9399,24.73288,26.03378,26.59466,1.124,1.096,0,6,2,2013,0.09772547894721471,2
2013-07-01,4.8099057,19.3354343,17.53526345,-0.05677617,-0.10139188,18.49,19.81,0.5737634,0.2890064,0.7270464,0.8305008,0.928118,0.9715179,22.09533,22.92028,24.45575,25.52694,22.98985,23.9399,24.73288,26.03378,1.007,1.124,0,7,3,2013,-1.3912619077278487,3
2014-02-01,16.5097301,10.783561350000001,NA,-0.22794673,-0.33835638,20.93,21.57,0.3313517,0.5330126,0.9606379,0.7647669,0.7865817,0.7301439,26.36087,26.4728,25.88524,24.39708,26.86624,27.091919999999998,26.34575,25.23096,0.97,0.971,1,2,1,2014,0.42592703278915534,1
2014-03-01,18.562949949999997,16.5097301,10.783561350000001,-0.27647421,-0.22794673,22.94,20.93,0.3855548,0.3313517,0.6980438,0.9606379,0.7647669,0.7865817,26.32632,26.36087,26.4728,25.88524,26.51838,26.86624,27.091919999999998,26.34575,0.95,0.97,1,3,1,2014,0.11721774586944839,1
2014-04-01,12.31830275,18.562949949999997,16.5097301,-0.13160521,-0.27647421,23.42,22.94,0.3740839,0.3855548,0.903284,0.6980438,0.9606379,0.7647669,25.89167,26.32632,26.36087,26.4728,26.43364,26.51838,26.86624,27.091919999999998,1.024,0.95,1,4,2,2014,-0.4100814711834116,2
2014-05-01,31.292314899999997,12.31830275,18.562949949999997,-0.06870186,-0.13160521,22.74,23.42,0.3518062,0.3740839,1.287785,0.903284,0.6980438,0.9606379,24.50001,25.89167,26.32632,26.36087,25.07891,26.43364,26.51838,26.86624,1.095,1.024,1,5,2,2014,0.9322863522307894,2
2014-08-01,12.412859749999999,27.5566868,NA,-0.13817842,0.040707,17.74,18.32,0.8309575,0.352474,0.6989164,0.7399701,1.0162617,1.287785,21.72197,22.20471,23.3608,24.50001,22.22778,22.78337,23.93454,25.07891,0.943,1.06,0,8,3,2014,-0.7975122093804522,3
2014-09-01,1.80561385,12.412859749999999,27.5566868,-0.07653103,-0.13817842,18.36,17.74,0.4579201,0.8309575,0.6401692,0.6989164,0.7399701,1.0162617,22.1284,21.72197,22.20471,23.3608,22.37619,22.22778,22.78337,23.93454,1,0.943,0,9,3,2014,-1.92783239475927,3
2015-02-01,29.978206299999997,1.9264267,NA,-0.47228056,-0.13772064,23.96,23.04,0.1739835,0.2246272,0.8719652,0.7509031,0.752392,0.7152151,26.97588,26.94392,26.28152,24.66998,27.47445,27.70095,26.78909,25.08714,0.959,1.003,1,2,1,2015,2.7448038249118323,1
2015-03-01,48.3160133,29.978206299999997,1.9264267,-0.28413907,-0.47228056,22.71,23.96,0.2633336,0.1739835,1.1103442,0.8719652,0.7509031,0.752392,27.27019,26.97588,26.94392,26.28152,27.32033,27.47445,27.70095,26.78909,1.067,0.959,1,3,1,2015,0.4772923830161444,1
2015-04-01,10.39516605,48.3160133,29.978206299999997,0.01343988,-0.28413907,21.12,22.71,0.787186,0.2633336,1.172969,1.1103442,0.8719652,0.7509031,25.99216,27.27019,26.97588,26.94392,26.71887,27.32033,27.47445,27.70095,1.062,1.067,1,4,2,2015,-1.536422148805759,2
2015-05-01,7.98907705,10.39516605,48.3160133,-0.13540828,0.01343988,20.52,21.12,1.7622399,0.787186,1.1730627,1.172969,1.1103442,0.8719652,24.64427,25.99216,27.27019,26.97588,25.30964,26.71887,27.32033,27.47445,1.128,1.062,1,5,2,2015,-0.26326565524376716,2
2015-06-01,7.934232850000001,7.98907705,10.39516605,-0.13558435,-0.13540828,20.02,20.52,0.6349615,1.7622399,0.9922936,1.1730627,1.172969,1.1103442,23.30488,24.64427,25.99216,27.27019,23.93185,25.30964,26.71887,27.32033,1.046,1.128,0,6,2,2015,-0.006888569929030132,2
2015-07-01,20.44499835,7.934232850000001,7.98907705,-0.08494709,-0.13558435,18.41,20.02,0.4811246,0.6349615,0.8232063,0.9922936,1.1730627,1.172969,22.56066,23.30488,24.64427,25.99216,22.8649,23.93185,25.30964,26.71887,0.966,1.046,0,7,3,2015,0.946551603076704,3
2015-08-01,2.64173425,20.44499835,7.934232850000001,-0.1852943,-0.08494709,18.05,18.41,0.4659946,0.4811246,0.7358503,0.8232063,0.9922936,1.1730627,21.82325,22.56066,23.30488,24.64427,22.34356,22.8649,23.93185,25.30964,0.939,0.966,0,8,3,2015,-2.046302658748079,3
2016-02-01,30.8265276,17.1561385,NA,-0.05700327,-0.13301376,24.18,23.33,0.233665,0.2718885,0.7711128,0.7121979,0.6169949,0.6643783,27.09128,26.54456,25.72747,24.71939,27.55766,27.16789,26.41567,25.48118,1.005,0.961,1,2,1,2016,0.5860195654006753,1
2016-03-01,13.0805001,30.8265276,17.1561385,-0.49955279,-0.05700327,23.62,24.18,0.4989556,0.233665,1.0118919,0.7711128,0.7121979,0.6169949,27.21406,27.09128,26.54456,25.72747,27.57053,27.55766,27.16789,26.41567,1.005,1.005,1,3,1,2016,-0.8572530257569991,1
2016-04-01,43.1393874,13.0805001,30.8265276,-0.08688385,-0.49955279,22.36,23.62,0.3528895,0.4989556,0.9693461,1.0118919,0.7711128,0.7121979,26.15925,27.21406,27.09128,26.54456,26.73667,27.57053,27.55766,27.16789,1.03,1.005,1,4,2,2016,1.1933138613389132,2
2016-05-01,3.0375457499999996,43.1393874,13.0805001,0.02726711,-0.08688385,21.11,22.36,0.5502047,0.3528895,0.908111,0.9693461,1.0118919,0.7711128,25.29991,26.15925,27.21406,27.09128,25.8463,26.73667,27.57053,27.55766,1.146,1.03,1,5,2,2016,-2.6533865703003863,2
2016-06-01,11.654609800000001,3.0375457499999996,43.1393874,-0.16114947,0.02726711,20.21,21.11,0.6647059,0.5502047,0.9695479,0.908111,0.9693461,1.0118919,23.17604,25.29991,26.15925,27.21406,24.26599,25.8463,26.73667,27.57053,1.121,1.146,0,6,2,2016,1.3446519224521656,2
2017-02-01,37.319917600000004,2.2459227499999996,NA,NA,NA,23.28,22.58,0.3649076,0.2979826,0.7846936,0.6771955,0.7782771,0.7157607,27.70812,26.94372,26.11388,24.85607,28.05759,27.53158,26.60605,25.67916,1.071,1.057,1,2,1,2017,2.810410706799628,1
2017-03-01,31.013009949999997,37.319917600000004,2.2459227499999996,NA,NA,22.56,23.28,0.6282871,0.3649076,0.8794676,0.7846936,0.6771955,0.7782771,27.75412,27.70812,26.94372,26.11388,28.34137,28.05759,27.53158,26.60605,1.011,1.071,1,3,1,2017,-0.185120375792964,1
2017-04-01,9.86000115,31.013009949999997,37.319917600000004,NA,NA,22.89,22.56,0.3491137,0.6282871,1.0569674,0.8794676,0.7846936,0.6771955,26.0167,27.75412,27.70812,26.94372,26.52229,28.34137,28.05759,27.53158,1.047,1.011,1,4,2,2017,-1.1459205070049403,2
2017-05-01,7.8253219,9.86000115,31.013009949999997,NA,NA,20.77,22.89,0.3778355,0.3491137,1.0087255,1.0569674,0.8794676,0.7846936,24.1852,26.0167,27.75412,27.70812,24.90168,26.52229,28.34137,28.05759,1.089,1.047,1,5,2,2017,-0.23112141228710759,2
